区域,小区名称,户型,面积(㎡),朝向,价格(元/月)
南山区-大学城,宝能城西区,4室2厅2卫,161.00,东南 西北,16500
龙岗区-龙岗中心城,珑城原点广场,1室1厅1卫,34.00,东南,1900
福田区-梅林,翰岭院,2室2厅1卫,82.00,南,8200
罗湖区-万象城,嘉宾花园,北,罗湖区-万象城-嘉宾花园,5.57㎡,1390
罗湖区-莲塘,万科东方尊峪,2室2厅1卫,92.82,南,6300
福田区-竹子林,建业大厦,南,福田区-竹子林-建业大厦,11.20㎡,2760
龙岗区-布吉街,阳光花园二期,2室2厅1卫,66.00,南,3500
龙华区-龙华新区,苹果园,2室1厅1卫,78.82,东南,5000
罗湖区-笋岗,祥福雅居,1室1厅1卫,40.37,西南,4500
南山区-南山中心,豪园小区,南,南山区-南山中心-豪园小区,14.29㎡,2260
宝安区-宝安中心,花样年花郡,1室1厅1卫,38.00,西北,5100
罗湖区-布心,东晓花园,南,罗湖区-布心-东晓花园,13.30㎡,1690
南山区-后海,云海天城,2室1厅1卫,75.92,南,6495
南山区-蛇口,栖游记,3室1厅2卫,86.20,南 北,7500
南山区-南山中心,怡园大厦,北,南山区-南山中心-怡园大厦,7.30㎡,1830
福田区-华强北,红荔村,南,福田区-华强北-红荔村,5.60㎡,1390
福田区-梅林,先科花园,南,福田区-梅林-先科花园,49.26㎡,4160
福田区-竹子林,竹园小区,3室2厅1卫,77.70,南,5900
龙岗区-横岗,麟恒中心广场一期,4室2厅2卫,84.40,东南,5800
龙华区-龙华中心,幸福城三期,3室2厅1卫,89.70,东南 南,6800
南山区-南山中心,康乐园,4室1厅1卫,10.68,北,2190
南山区-后海,龙城花园,3室1厅1卫,8.28,南,2130
宝安区-西乡,中熙香缇湾,5室1厅2卫,12.10,西北,2030
宝安区-翻身,泰华锦绣城,2室2厅1卫,78.00,东南,5300
光明区-公明,天汇时代花园一期,4室1厅2卫,10.28,东南,1460
龙华区-上塘,龙华金茂府,4室2厅3卫,184.13,西南,23000
龙岗区-横岗,名门世家,5室1厅2卫,7.30,东,1030
南山区-蛇口,半岛城邦花园二期,6室0厅0卫,18.00,南,2880
南山区-前海,椰风海岸,3室1厅1卫,12.50,北,2530
南山区-南头,大陆庄园,5室1厅2卫,30.00,南,3300
南山区-蛇口,海昌大厦,3室1厅1卫,66.00,南,6700
南山区-前海,前海天境花园,3室2厅2卫,121.58,南,13000
南山区-后海,京光海景花园,4室1厅2卫,6.00,南,1630
,未知小区,1室0厅1卫,37.00,2间在租,5486-5620
南山区-华侨城,天鹅湖花园三期,3室2厅2卫,123.00,南,17500
,未知小区,1室1厅1卫,55.00,2间在租,6485-7289
罗湖区-百仕达,百仕达乐湖,2室2厅1卫,88.00,东北,7100
龙华区-龙华中心,壹成中心璞誉府,4室2厅2卫,128.00,南,11000
盐田区-沙头角,壹海城四区,1室1厅1卫,52.00,西北 北,4600
龙岗区-龙岗宝荷,振业天峦,3室1厅1卫,89.00,东南,3300
,未知小区,1室0厅1卫,37.00,3间在租,5099-5620
,未知小区,1室0厅1卫,23.00,1间在租,1580
,未知小区,1室0厅1卫,33.00,1间在租,1780
坪山区-坪山,玺悦台,4室2厅2卫,111.25,东南,3500
龙岗区-大运新城,佳兆业未来时代大厦,2室1厅1卫,60.54,南,3400
,未知小区,1室1厅1卫,35.00,1间在租,2000
龙岗区-龙岗中心城,珑城原点广场,1室1厅1卫,34.00,东南,1700
龙岗区-布吉关,国展苑,3室1厅1卫,86.00,东南 南,4700
,未知小区,1室0厅1卫,23.00,1间在租,1400
,未知小区,1室0厅1卫,37.00,3间在租,5099-5403
,未知小区,1室1厅1卫,58.00,1间在租,2700
,未知小区,1室1厅1卫,50.00,1间在租,5980
福田区-梅林,梅林一村,3室2厅1卫,90.00,西南,7300
福田区-皇岗,皇御苑四期,1室0厅1卫,38.00,南,4800
,未知小区,1室0厅1卫,37.00,4间在租,5226-5755
南山区-前海,佳兆业前海广场一期,5室2厅2卫,110.00,南 北,10500
,未知小区,未知户型,12间在租,1室0厅1卫,5403-5809
,未知小区,1室0厅1卫,37.00,4间在租,5403-5949
龙岗区-横岗,康乐花园,10室4厅6卫,322.00,南,26000
,未知小区,1室0厅1卫,40.00,1间在租,1600
罗湖区-翠竹,茂业德弘天下,3室1厅1卫,74.00,东南,7500
坪山区-坪山,万樾府,3室2厅1卫,85.73,东南,4600
龙华区-龙华中心,绿茵华庭,3室2厅1卫,86.00,东南 西北,4300
南山区-蛇口,蓝漪花园,东,南山区-蛇口-蓝漪花园,9.70㎡,2160
龙岗区-坂田,富豪花园,北,龙岗区-坂田-富豪花园,10.68㎡,1360
盐田区-盐田港,臻湾云庭,4室2厅2卫,145.00,东,6000
南山区-西丽,桃源村一期,4室1厅1卫,6.00,东南,1290
龙岗区-布吉大芬,桂芳园七期,4室1厅2卫,7.30,东南,1130
南山区-科技园,赛百诺基因科技大厦,1室1厅1卫,30.00,南,3300
南山区-后海,南油A区,5室1厅2卫,9.20,西,1590
福田区-梅林,锦林新居,3室2厅1卫,82.00,南,6400
福田区-皇岗,金地名津,2室1厅1卫,62.00,南,8000
南山区-前海,雷圳碧榕湾海景花园,3室2厅2卫,90.00,南,8800
罗湖区-翠竹,阳光天地家园,1室0厅1卫,27.00,北,2800
坪山区-坪山,大东城二期,3室2厅2卫,87.00,南,4300
罗湖区-新秀,新秀村南区,3室1厅1卫,107.00,南,5300
龙岗区-布吉街,阳光花园二期,3室2厅1卫,87.00,南,4600
南山区-南头,麒麟花园A区,4室1厅2卫,12.98,北,1930
坪山区-坪山,深业东城上邸,5室2厅2卫,89.00,南,4200
南山区-西丽,龙都花园,4室1厅1卫,7.90,东,1430
南山区-前海,前海润峯府,3室2厅2卫,110.00,东,16800
福田区-石厦,南方国际广场,1室1厅1卫,34.00,北,4000
龙岗区-布吉街,德兴城花园,4室1厅1卫,7.90,东,1130
宝安区-西乡,万象中心,2室1厅1卫,44.00,南,4700
南山区-西丽,珠光花半里,4室1厅2卫,8.80,北,1860
龙岗区-龙岗中心城,仁恒梦公园,1室1厅1卫,28.00,东北,2300
福田区-香梅北,特发小区,3室2厅1卫,77.85,南,7800
宝安区-西乡,碧海湾花园,4室1厅2卫,14.50,东南,1690
龙岗区-龙岗中心城,尚景花园,3室2厅2卫,103.00,南,3600
南山区-前海,前海天境花园,4室2厅2卫,139.00,南,20000
南山区-华侨城,世界花园海华居,2室1厅1卫,48.00,东南,6500
南山区-前海,前海花园三期,3室2厅1卫,89.00,西,7500
南山区-南山中心,南光城市花园,4室1厅2卫,10.10,西,2490
龙华区-龙华中心,鸿荣源·壹成中心十区,3室2厅2卫,92.86,南,8000
大鹏新区-大鹏半岛,承翰半山海,1室1厅1卫,36.00,西南,1700
罗湖区-翠竹,龙屋小区,东,罗湖区-翠竹-龙屋小区,8.00㎡,1290
福田区-上步,国企大厦,2室1厅1卫,83.55,西北,6000
福田区-园岭,园岭新村,南,福田区-园岭-园岭新村,12.70㎡,2030
宝安区-松岗,中海西岸华府北区,4室2厅2卫,126.00,南,4200
南山区-科技园,深南花园,北,南山区-科技园-深南花园,6.89㎡,1890
龙岗区-大运新城,海逸雅居,2室2厅2卫,69.00,东南,3600
福田区-新洲,怡和楼,东,福田区-新洲-怡和楼,10.78㎡,1760
南山区-西丽,宝珠花园,东,南山区-西丽-宝珠花园,6.90㎡,1590
龙岗区-大运新城,启迪协信科技园,3室2厅1卫,61.94,南,3800
南山区-南山中心,友邻公寓,2室1厅1卫,58.00,南,6200
南山区-白石洲,祥祺花园,8室1厅0卫,25.00,北,3000
龙岗区-平湖,华南西苑,3室1厅1卫,44.00,西北,2800
南山区-南山中心,西海明珠,北,南山区-南山中心-西海明珠,12.79㎡,3460
宝安区-宝安中心,天悦龙庭二期,4室1厅2卫,6.81,西,1830
龙岗区-坂田,万科第五园四期,2室2厅1卫,70.00,南,5600
福田区-福田中心,星河世纪,1室1厅1卫,42.00,西,6600
龙岗区-横岗,锦荟PARK,5室1厅2卫,8.07,东,1260
罗湖区-百仕达,东安花园,4室1厅2卫,12.80,南,1969
光明区-公明,天汇时代花园一期,5室1厅3卫,11.26,西,1590
龙岗区-坂田,佳兆业城市广场五期,4室1厅2卫,10.02,南,2357
宝安区-碧海,松茂御龙湾雅苑一期,1室1厅1卫,49.00,西南,5100
南山区-西丽,水木华庭,4室1厅2卫,8.50,北,1830
南山区-科技园,通讯小区,3室2厅1卫,86.63,南 北,9000
南山区-南山中心,海典居,4室1厅2卫,11.70,南,2290
南山区-前海,一湾臻邸,4室2厅2卫,112.17,东南,17500
宝安区-航城,领航城领秀花园,3室2厅2卫,89.00,南 北,6500
福田区-竹子林,建业小区南区,3室2厅1卫,88.00,南 北,5500
南山区-西丽,宝珠花园,3室2厅2卫,101.00,南,7500
福田区-石厦,瑞和园,东,福田区-石厦-瑞和园,10.52㎡,2230
光明区-公明,福盈中央山,4室2厅2卫,106.00,东南,4350
南山区-前海,星海名城一期五组团,2室2厅1卫,70.00,南,6800
南山区-后海,南油B区,1室1厅1卫,37.00,东南 南,4300
龙华区-梅林关,万家灯火,3室2厅2卫,90.67,东南 西北,5500
南山区-深圳湾,恒裕深圳湾,4室2厅1卫,230.00,东南 南,50000
坪山区-坪山,坪山首座,3室1厅1卫,82.39,东南,3300
龙岗区-坂田,万科城四期,3室2厅2卫,122.77,南,7600
福田区-新洲,福昌苑,北,福田区-新洲-福昌苑,11.80㎡,1990
龙岗区-布吉南岭,安鸿峰景苑,3室2厅1卫,87.42,南,4200
盐田区-盐田港,二期御景佳园,3室2厅2卫,89.00,南,5000
福田区-梅林,银海苑,3室2厅1卫,84.00,北,7200
福田区-银湖,新阁小区,1室0厅1卫,37.00,南,2400
宝安区-翻身,富源花园,东南,宝安区-翻身-富源花园,9.60㎡,1830
龙岗区-龙岗中心城,雅豪祥苑,2室1厅1卫,66.01,东南,2600
南山区-华侨城,海景花园,西,南山区-华侨城-海景花园,7.22㎡,1890
罗湖区-万象城,幸福里雅居,3室2厅2卫,146.00,南 北,17500
龙岗区-坂田,佳兆业城市广场五期,4室2厅2卫,89.00,南,8000
坪山区-坪山,丹梓龙庭,2室2厅1卫,69.00,南,2120
罗湖区-莲塘,鹏兴花园二期,4室2厅3卫,210.04,南 北,14000
南山区-前海,瑞景华庭,北,南山区-前海-瑞景华庭,55.00㎡,5560
南山区-南头,御成府,1室1厅1卫,54.00,东 南,7600
南山区-南头,御成府,1室0厅0卫,38.00,北,6100
南山区-南山中心,华联城市商务中心,1室1厅1卫,30.00,东,5000
南山区-大学城,留仙居南A区,4室1厅2卫,8.10,北,1860
宝安区-翻身,海岸悦府,5室1厅2卫,6.48,西南,1630
盐田区-沙头角,三环宿舍,1室1厅1卫,48.32,东南,2800
福田区-新洲,公路局宿舍新洲小区,3室2厅1卫,80.44,南,5500
光明区-公明,中粮云景广场,2室1厅1卫,48.00,北,3400
福田区-竹子林,建业小区南区,3室2厅1卫,85.00,南,5600
龙岗区-龙岗双龙,深房传麒尚林,4室2厅2卫,89.00,南,4000
福田区-上下沙,碧海红树园,南,福田区-上下沙-碧海红树园,13.30㎡,3490
宝安区-福永,金石雅苑,3室2厅1卫,106.00,东南,4500
龙岗区-龙岗中心城,金地龙城中央一期,3室2厅2卫,88.07,西南,4000
宝安区-宝安中心,幸福海岸一期,东北,宝安区-宝安中心-幸福海岸一期,7.30㎡,1760
福田区-上下沙,鸿景湾名苑,南,福田区-上下沙-鸿景湾名苑,15.20㎡,2790
龙华区-红山,龙光玖钻,1室2厅2卫,39.53,西北,4700
南山区-南头,旺海怡苑,南,南山区-南头-旺海怡苑,9.53㎡,2130
龙岗区-布吉南岭,万科公园6号,3室1厅2卫,85.78,西南,5500
坪山区-坪山,金田风华苑,1室2厅1卫,56.00,东南 南,2200
龙华区-龙华中心,壹成中心第三区,3室1厅1卫,81.00,西南,5890
南山区-红树湾,世纪村四期,1室1厅1卫,50.00,东南,6500
南山区-南山中心,荟芳园,东,南山区-南山中心-荟芳园,10.08㎡,2260
龙岗区-龙岗宝荷,振业峦山谷,2室2厅1卫,81.00,南,3100
罗湖区-翠竹,贝丽花园,南,罗湖区-翠竹-贝丽花园,12.40㎡,1833
福田区-梅林,凯丰花园一期,4室1厅1卫,11.70,南,1590
南山区-蛇口,东帝海景家园,4室2厅2卫,138.00,南,14500
福田区-梅林,绿景虹湾,3室1厅1卫,66.00,东北,8000
南山区-科技园,汇景豪苑,3室1厅1卫,10.11,北,2190
龙华区-梅林关,汇龙苑,3室2厅1卫,77.00,南,6000
宝安区-碧海,玉湖湾,4室2厅2卫,89.00,南,7600
龙岗区-坂田,万科金色半山,3室2厅1卫,89.05,南,6000
南山区-大学城,华晖云门,4室1厅2卫,13.86,西,2860
南山区-西丽,珠光花半里,4室1厅2卫,8.00,南,1630
宝安区-宝安中心,金泓凯旋城一期,3室2厅2卫,134.12,东南,15000
龙岗区-坂田,万科四季花城三期,2室2厅1卫,74.00,东,5600
宝安区-宝安中心,天健时尚空间名苑,4室1厅2卫,8.10,西南,1860
盐田区-沙头角,新天富山海华庭,3室2厅2卫,94.71,东北,5200
龙华区-坂田,春华四季园二期,6室2厅4卫,140.62,南 北,13000
龙岗区-布吉水径,中海怡翠山庄四期,5室1厅2卫,10.30,西,1330
龙华区-梅林关,新彩苑,1室1厅1卫,34.27,西南,4500
罗湖区-螺岭,锦绣大厦,1室1厅1卫,52.00,南,4500
福田区-福田中心,黄埔雅苑一期,5室2厅2卫,156.00,东北,16000
福田区-车公庙,君临天下,2室1厅1卫,65.48,南,8000
福田区-皇岗,福民新村,南,福田区-皇岗-福民新村,13.20㎡,1930
盐田区-沙头角,沙副小区,3室2厅1卫,89.00,东南 南,3500
龙岗区-龙岗中心城,金地龙城中央三期,1室1厅1卫,39.00,东南,2300
罗湖区-地王,宝丽大厦,4室2厅1卫,90.00,南,6200
宝安区-福永,会展湾水岸,1室0厅1卫,34.00,北,2300
龙岗区-龙岗中心城,远洋新干线晶钻广场,5室2厅2卫,65.00,南,3500
南山区-西丽,珠光花半里,南,南山区-西丽-珠光花半里,7.28㎡,1630
罗湖区-地王,龙园创展大厦,1室0厅1卫,78.00,北,6000
宝安区-翻身,海天花园,东北,宝安区-翻身-海天花园,7.90㎡,1490
宝安区-宝安中心,第五大道高发西岸花园一期,南,宝安区-宝安中心-第五大道高发西岸花园一期,14.09㎡,2530
龙岗区-平湖,融湖中心城一期,2室2厅1卫,73.00,东北,4500
龙华区-坂田,春华四季园二期,东,龙华区-坂田-春华四季园二期,10.24㎡,1530
南山区-蛇口,海景广场,4室2厅2卫,240.00,南,21000
福田区-皇岗,福民新村,南,福田区-皇岗-福民新村,11.72㎡,2160
龙华区-龙华中心,鸿荣源尚云,北,龙华区-龙华中心-鸿荣源尚云,88.93㎡,7760
南山区-大学城,京基御景峯,3室2厅2卫,116.00,西南,10500
龙华区-龙华中心,美丽365花园,东,龙华区-龙华中心-美丽365花园,15.14㎡,1990
福田区-赤尾,京基御景华城,1室0厅1卫,35.00,北,3900
南山区-大学城,丽新花园,北,南山区-大学城-丽新花园,9.52㎡,1960
盐田区-盐田港,新三村家园,4室2厅2卫,124.00,南,5500
南山区-科技园,凯丽花园,北,南山区-科技园-凯丽花园,11.57㎡,2130
福田区-车公庙,富通九曜公馆,2室1厅1卫,66.41,西南,11000
南山区-蛇口,蓬莱花园,北,南山区-蛇口-蓬莱花园,9.80㎡,1930
南山区-科技园,大冲城市花园,4室1厅2卫,12.90,南,4460
龙岗区-龙岗中心城,恒明ONE,2室1厅1卫,42.74,北,3000
宝安区-宝安中心,西城上筑,4室1厅2卫,8.70,北,2160
南山区-西丽,桃源村二期,3室2厅1卫,93.22,北,6500
龙华区-龙华新区,金地梅陇镇二期,2室1厅1卫,76.00,东南 南,5000
龙岗区-龙岗中心城,新鸿进花园,2室2厅1卫,69.00,南 北,2600
宝安区-石岩,宏发世纪城二期,4室2厅2卫,88.00,南,5800
宝安区-桃源居,佳兆业樾伴山,3室2厅2卫,89.00,西南,5200
龙华区-红山,龙光玖钻,3室2厅2卫,72.00,西南,6200
光明区-光明,中海寰宇时代花园,西,光明区-光明-中海寰宇时代花园,8.80㎡,1330
罗湖区-布心,太阳新城,2室2厅1卫,68.60,南,5500
南山区-前海,星海名城六期,北,南山区-前海-星海名城六期,15.30㎡,2860
盐田区-梅沙,水云间雅居,1室1厅1卫,52.00,南,2400
南山区-科技园,松坪村东区三期,2室1厅1卫,59.26,东南 南,6300
南山区-蛇口,招商海琴花园,4室2厅2卫,140.00,南,13000
罗湖区-地王,广场北街小区,东,罗湖区-地王-广场北街小区,17.20㎡,2230
福田区-竹子林,越海家园,东,福田区-竹子林-越海家园,14.10㎡,3390
龙岗区-布吉街,青青家园,2室2厅2卫,103.00,东南,3600
罗湖区-螺岭,华丽花园,东,罗湖区-螺岭-华丽花园,7.51㎡,1460
南山区-蛇口,蓝月湾畔,南,南山区-蛇口-蓝月湾畔,12.50㎡,3060
龙岗区-龙岗宝荷,京基御景荟都,1室1厅1卫,35.00,西北,1800
龙华区-龙华中心,壹成中心第二区,3室2厅2卫,93.49,东南,8500
罗湖区-螺岭,环岛丽园,2室2厅1卫,70.00,东南,6500
宝安区-翻身,石鸿融景园,东南,宝安区-翻身-石鸿融景园,9.46㎡,1760
南山区-白石洲,侨城馨苑,西,南山区-白石洲-侨城馨苑,84.27㎡,7990
南山区-后海,龙城花园,3室1厅1卫,6.30,南,1590
龙华区-红山,龙光玖钻,2室2厅2卫,53.00,东南,5700
福田区-梅林,振业梅苑,3室2厅1卫,81.00,南,6300
龙华区-龙华中心,壹成中心第六区,4室2厅2卫,86.57,东南,7500
宝安区-西乡,富瑰园,3室2厅2卫,142.00,南,5900
龙岗区-龙岗双龙,德沁苑,3室2厅1卫,86.00,南,4200
坪山区-坪山,保利明玥澜岸花园,1室1厅1卫,36.00,东,2100
南山区-前海,泛海城市广场,3室1厅1卫,120.00,东南,9600
南山区-红树湾,中信红树湾北区,1室1厅1卫,55.00,西北 北,7600
罗湖区-地王,电影大厦,1室0厅1卫,36.87,南,3200
龙岗区-龙岗中心城,阅山华府,3室2厅1卫,88.77,东南,4500
龙岗区-龙岗宝荷,金地名峰,4室2厅2卫,89.36,西北,3600
龙岗区-布吉街,宝龙花园,3室2厅2卫,116.00,东南,4500
龙华区-龙华中心,鸿荣源尚云,北,龙华区-龙华中心-鸿荣源尚云,88.93㎡,7760
光明区-公明,中粮云景花园南区,2室1厅1卫,72.00,西南,3900
福田区-福田中心,福莲花园,1室2厅1卫,70.00,南,6600
龙华区-龙华中心,美丽365花园,东,龙华区-龙华中心-美丽365花园,15.14㎡,1990
龙华区-龙华中心,壹成中心第五区,3室2厅1卫,73.00,南,6000
福田区-梅林,先科花园,1室0厅1卫,39.00,北,2800
坪山区-坪山,深城投中城花园,3室2厅2卫,138.00,东南,5600
罗湖区-笋岗,田心庆云花园,3室1厅1卫,94.59,南,6500
龙岗区-大运新城,启迪协信科技园,2室2厅1卫,67.27,南 北,4300
宝安区-沙井,鸿荣源珈誉府2区,3室2厅2卫,85.00,西南,6500
南山区-南山中心,华联城市商务中心,1室1厅1卫,33.03,南,4800
宝安区-新安,安华35区商住楼,2室1厅1卫,82.00,西南,4300
福田区-莲花,宝莲大厦,3室2厅1卫,103.00,东北,7500
福田区-华强北,宝树台,2室1厅1卫,46.00,东南,7500
龙华区-梅林关,万科金域华府,3室2厅1卫,81.00,西南,8500
宝安区-福永,金石雅苑,2室2厅1卫,62.00,西南,3400
龙华区-梅林关,丰泽湖山庄,2室2厅1卫,85.00,南,6200
南山区-大学城,丽新花园,北,南山区-大学城-丽新花园,9.52㎡,1960
南山区-蛇口,澳城1618一期,4室2厅2卫,132.80,南,18000
南山区-科技园,凯丽花园,北,南山区-科技园-凯丽花园,11.57㎡,2130
龙岗区-坪地,创城宜城风景,3室1厅1卫,83.00,南 西南,3200
南山区-蛇口,蓬莱花园,北,南山区-蛇口-蓬莱花园,9.80㎡,1930
福田区-华强北,滨江爱义南方大厦,1室1厅1卫,50.00,北,7500
宝安区-宝安中心,西城上筑,4室1厅2卫,8.70,北,2160
福田区-华强北,通新岭,4室2厅2卫,140.00,南,15000
罗湖区-春风路,云景豪园,3室2厅2卫,121.06,东南,8800
宝安区-碧海,幸福港湾,2室1厅1卫,64.00,西南,5300
罗湖区-笋岗,裕华小区,2室1厅1卫,70.00,南,3800
宝安区-松岗,松河瑞园一期,2室1厅1卫,46.00,西南,3400
福田区-皇岗,京隆苑,1室0厅1卫,30.00,南,3100
龙华区-红山,华业玫瑰四季馨园一期,北,龙华区-红山-华业玫瑰四季馨园一期,8.80㎡,1560
龙岗区-龙岗双龙,满京华喜悦里,3室2厅2卫,71.00,西南,3800
宝安区-西乡,南航明珠花园,东,宝安区-西乡-南航明珠花园,14.31㎡,1830
宝安区-翻身,中商花园,西北,宝安区-翻身-中商花园,6.05㎡,1260
龙华区-梅林关,丰泽湖山庄,2室2厅1卫,86.00,东南,6500
罗湖区-莲塘,畔山花园,3室1厅1卫,89.00,南 北,4900
福田区-石厦,福田花园,西,福田区-石厦-福田花园,8.30㎡,1790
龙岗区-大运新城,海逸雅居,3室2厅1卫,97.00,东南,4000
南山区-前海,新德家园,2室1厅1卫,36.00,南,5500
龙华区-龙华新区,万福花园,3室2厅1卫,85.13,东南,6500
南山区-南山中心,金晖大厦,东,南山区-南山中心-金晖大厦,48.84㎡,5260
罗湖区-万象城,城市天地广场,1室1厅1卫,51.00,南,4800
南山区-前海,月亮湾花园,北,南山区-前海-月亮湾花园,9.81㎡,1730
宝安区-宝安中心,鸿荣源·壹方中心·玖誉,4室2厅2卫,220.00,西南,28000
南山区-南山中心,永安公寓,1室0厅1卫,37.00,南 西南,2500
罗湖区-黄贝岭,合正荣悦,2室1厅1卫,67.00,西南,8000
南山区-西丽,润城花园,南,南山区-西丽-润城花园,8.00㎡,1990
龙岗区-布吉水径,中海怡翠山庄一期,3室2厅2卫,90.00,南,4100
龙岗区-坂田,万科四季花城一期,南,龙岗区-坂田-万科四季花城一期,15.23㎡,2030
南山区-白石洲,侨城豪苑二期,2室2厅1卫,78.00,南,6300
龙岗区-坂田,佳兆业中央广场一期,北,龙岗区-坂田-佳兆业中央广场一期,8.90㎡,1560
南山区-后海,京光海景花园,东,南山区-后海-京光海景花园,14.10㎡,2790
南山区-南山中心,南海大厦,2室1厅1卫,30.00,南,5200
龙岗区-龙岗宝荷,碧桂园观麓花园,3室2厅2卫,89.00,西南,4000
南山区-蛇口,爱榕园,4室1厅1卫,6.60,北,1560
宝安区-碧海,华丰前海湾二期,3室2厅2卫,89.00,东南,7500
,未知小区,1室0厅1卫,25.00,2间在租,1099
,未知小区,1室0厅1卫,25.00,1间在租,1199
罗湖区-地王,建设集团宿舍,3室1厅1卫,72.00,东,5500
福田区-上下沙,京基滨河时代广场南区,5室2厅2卫,182.29,南,17000
,未知小区,1室0厅1卫,25.00,1间在租,1199
龙岗区-龙岗中心城,顺景花园,3室2厅2卫,107.00,南,3800
罗湖区-春风路,向西大厦,4室2厅2卫,128.00,东 东南,7800
龙华区-红山,龙光玖钻,2室1厅1卫,39.68,东南,4600
,未知小区,1室0厅1卫,25.00,1间在租,1199
龙岗区-布吉大芬,星都豪庭,3室2厅1卫,87.00,东南,6200
,未知小区,1室0厅1卫,25.00,1间在租,1199
龙岗区-布吉街,德福花园,2室2厅1卫,78.21,南,4000
龙华区-龙华中心,卓越和奕府,3室2厅2卫,97.54,东南,7400
,未知小区,1室0厅1卫,25.00,2间在租,1099
龙华区-红山,金亨利瑜璟苑,4室2厅2卫,93.00,南,15000
,未知小区,1室0厅1卫,25.00,1间在租,1199
罗湖区-黄贝岭,合正荣悦,2室2厅1卫,82.00,南,8300
盐田区-盐田港,海川阁,1室1厅1卫,48.00,南,3000
,未知小区,1室0厅1卫,24.00,1间在租,1099
龙华区-红山,幸福枫景,3室2厅2卫,88.50,东南,5800
,未知小区,1室0厅1卫,24.00,1间在租,1099
,未知小区,1室0厅1卫,24.00,1间在租,1099
宝安区-新安,福城·前海新纪元,3室2厅1卫,86.00,东南,7200
福田区-福田中心,皇洲花园,3室2厅1卫,82.16,南,6000
,未知小区,1室0厅1卫,24.00,1间在租,1099
,未知小区,1室1厅1卫,40.00,1间在租,1599
罗湖区-百仕达,旭飞华达园,2室1厅1卫,40.26,西南,4300
龙岗区-龙岗中心城,仁恒梦公园,1室0厅1卫,38.00,东南,2600
,未知小区,1室1厅1卫,25.00,1间在租,1599
福田区-车公庙,泰康轩,1室1厅1卫,39.00,西南,5000
南山区-前海,天朗风清,西,南山区-前海-天朗风清,11.00㎡,2630
福田区-八卦岭,鹏益花园,3室1厅2卫,60.00,南,5500
宝安区-新安,宝民花园(新安),北,宝安区-新安-宝民花园(新安),19.02㎡,1830
南山区-科技园,阳光带海滨城一期,东,南山区-科技园-阳光带海滨城一期,21.60㎡,3730
南山区-南山中心,深航飞行员公寓,北,南山区-南山中心-深航飞行员公寓,7.81㎡,1890
龙华区-红山,莱蒙水榭春天一期,南,龙华区-红山-莱蒙水榭春天一期,7.34㎡,1560
福田区-景田,香蜜三村,北,福田区-景田-香蜜三村,7.48㎡,1890
龙岗区-布吉街,宝龙花园,3室2厅2卫,116.00,东南,4500
龙岗区-布吉街,宝龙花园,3室2厅2卫,116.00,东南,5000
龙岗区-布吉街,宝龙花园,3室2厅2卫,116.00,东 东南,5000
龙岗区-布吉街,宝龙花园,3室2厅2卫,116.00,东 东南,5000
罗湖区-万象城,城市天地广场,1室1厅1卫,53.00,北,4600
南山区-白石洲,侨城馨苑,1室1厅1卫,60.00,南,5300
宝安区-碧海,碧海富通城六期,西,宝安区-碧海-碧海富通城六期,5.70㎡,1290
龙华区-梅林关,书香门第上河坊,2室1厅1卫,52.00,东南,4700
龙华区-观澜,奥宸观壹城,3室2厅1卫,79.00,南,4500
福田区-车公庙,泰康轩,北,福田区-车公庙-泰康轩,35.47㎡,5290
南山区-华侨城,中旅广场,3室2厅2卫,114.00,南,9600
罗湖区-莲塘,莲塘D小区,4室1厅1卫,120.01,南,5400
罗湖区-罗湖口岸,港逸豪庭,3室2厅1卫,91.23,北,6500
龙岗区-布吉街,宝龙花园,3室2厅2卫,116.00,东南,5000
龙岗区-布吉街,宝龙花园,3室2厅2卫,116.00,东南,4500
南山区-科技园,豪方现代豪园,北,南山区-科技园-豪方现代豪园,9.70㎡,2390
南山区-南山中心,万象新园,1室1厅1卫,38.00,北,4500
龙岗区-坂田,万科四季花城二期,西,龙岗区-坂田-万科四季花城二期,8.50㎡,1530
宝安区-宝安中心,幸福海岸二期,北,宝安区-宝安中心-幸福海岸二期,16.05㎡,3290
福田区-梅林,御锦公馆,1室0厅1卫,19.77,南,3600
南山区-华侨城,世界花园米兰居,南,南山区-华侨城-世界花园米兰居,14.05㎡,2860
宝安区-西乡,碧海名园,3室2厅1卫,80.09,西南,5130
南山区-南山中心,缤纷假日豪园,3室2厅2卫,119.43,东南,11000
,未知小区,1室0厅1卫,25.00,1间在租,1779
龙岗区-大运新城,佳兆业未来时代大厦,2室2厅1卫,62.00,东,3500
罗湖区-东门,耀华楼,2室1厅1卫,61.00,南,3300
龙岗区-龙岗中心城,碧湖花园,4室2厅2卫,197.54,南,5800
福田区-华强南,飞扬时代大厦,1室1厅1卫,38.00,东,3800
龙岗区-坂田,万科四季花城二期,3室2厅2卫,99.88,南 北,6500
南山区-后海,深蓝公寓,2室1厅1卫,60.54,东南,7000
龙华区-龙华中心,玺园,4室2厅2卫,89.00,南,8000
,未知小区,1室0厅1卫,25.00,1间在租,1441
,未知小区,1室0厅1卫,25.00-30.00,2间在租,1453-1600
龙岗区-布吉大芬,中兆花园,3室2厅1卫,68.00,西,3600
